Time (h),ATCC_Glucose,ATCC_Lactate,ATCC_Pyruvate,MBM_NoCarbon,MBM_Glucose,MBM_Lactate,MBM_Pyruvate
1.9000000000000001,6.2081636155e-05,1.5842782948e-05,2.0340131896e-05,5e-06,2.9834109422e-05,1.1808763937e-05,1.8180101359e-05
1.9500000000000002,6.633640313400001e-05,1.6330972113000002e-05,2.1105217349000003e-05,5e-06,3.126994702500001e-05,1.2078872576000001e-05,1.8808302610000002e-05
2.0,7.0882760996e-05,1.6834204636e-05,2.1899079723e-05,5e-06,3.2774886188e-05,1.2355159566e-05,1.9458210864e-05
2.0500000000000003,7.574069176800004e-05,1.7352944073000005e-05,2.2722801278000006e-05,5e-06,3.435225235000001e-05,1.2637766226000003e-05,2.0130576184000006e-05
2.1,8.0931546547e-05,1.7887668262e-05,2.357750497e-05,5e-06,3.600553097e-05,1.2926837111e-05,2.082617455e-05
2.15,8.6478139274e-05,1.8438869769e-05,2.4464355973e-05,5e-06,3.7738375219e-05,1.322252008e-05,2.1545808757e-05
2.2,9.2404846899e-05,1.9007056334e-05,2.5384563274e-05,5e-06,3.9554614051e-05,1.3524966375e-05,2.2290309336e-05
2.25,9.8737716407e-05,1.9592751347e-05,2.6339381312e-05,5e-06,4.1458260657e-05,1.3834330698e-05,2.3060535518e-05
2.3000000000000003,0.00010550457916,2.0196494322e-05,2.7330111689e-05,5e-06,4.3453521328e-05,1.4150771289e-05,2.3857376222e-05
2.35,0.00011273517306,2.0818841401e-05,2.8358104944e-05,5e-06,4.5544804744e-05,1.4474450008e-05,2.4681751082e-05
2.4000000000000004,0.00012046127304000007,2.1460365862000006e-05,2.942476238600001e-05,5e-06,4.773673170800002e-05,1.4805532415000003e-05,2.5534611510000006e-05
2.45,0.00012871683046,2.2121658649e-05,3.0531538007e-05,5e-06,5.0034145347e-05,1.5144187861e-05,2.641694179e-05
2.5,0.00013753812206,2.2803328914e-05,3.1679940459e-05,5e-06,5.2442121806e-05,1.5490589567e-05,2.7329760217e-05
2.5500000000000003,0.00014696390906,2.3506004582e-05,3.2871535106e-05,5e-06,5.4965981456e-05,1.5844914718e-05,2.8274120271e-05
2.6,0.00015703560701,2.4230332926e-05,3.4107946155e-05,5e-06,5.7611300634e-05,1.6207344552e-05,2.9251111834e-05
2.6500000000000004,0.0001677974673600001,2.4976981165000005e-05,3.539085886700001e-05,5e-06,6.038392395700003e-05,1.6578064451000004e-05,3.026186244500001e-05
2.7,0.00017929677126,2.5746637078e-05,3.6722021848e-05,5e-06,6.3289977218e-05,1.695726404e-05,3.1307538603e-05
2.75,0.00019158403656,2.6540009637e-05,3.8103249428e-05,5e-06,6.6335880909e-05,1.7345137279e-05,3.2389347113e-05
2.8000000000000003,0.00020471323885,2.7357829661e-05,3.9536424132e-05,5e-06,6.9528364383e-05,1.7741882565e-05,3.3508536479e-05
2.85,0.00021874204745,2.8200850489e-05,4.1023499235e-05,5e-06,7.2874480709e-05,1.8147702834e-05,3.4666398343e-05
2.9000000000000004,0.00023373207726000013,2.9069848675000005e-05,4.2566501421000016e-05,5e-06,7.638162222700003e-05,1.8562805662000004e-05,3.586426897800002e-05
2.95,0.00024974915763,2.99656247e-05,4.4167533539e-05,5e-06,8.0057536858e-05,1.8987403377e-05,3.7103530826e-05
3.0,0.00026686361912,3.0889003713e-05,4.5828777461e-05,5e-06,8.3910345191e-05,1.9421713158e-05,3.8385614097e-05
3.0500000000000003,0.00028515059933,3.184083629e-05,4.7552497045e-05,5e-06,8.7948558392e-05,1.9865957157e-05,3.9711998419e-05
3.1,0.00030469036885,3.2821999215e-05,4.9341041216e-05,5e-06,9.2181096966e-05,2.0320362603e-05,4.1084214543e-05
3.1500000000000004,0.0003255686784300002,3.383339629200001e-05,5.1196847152000014e-05,5e-06,9.661731042700004e-05,2.0785161927000002e-05,4.250384611200001e-05
3.2,0.00034787712822,3.4875959175e-05,5.3122443599e-05,5e-06,0.0001012669979,2.1260592872e-05,4.3972531484e-05
3.25,0.00037171356,3.5950648226e-05,5.5120454302e-05,5e-06,0.0001061404297,2.1746898622e-05,4.5491965629e-05
3.3000000000000003,0.00039718247274,3.7058453399e-05,5.7193601569e-05,5e-06,0.00011124836999,2.2244327923e-05,4.7063902079e-05
3.35,0.00042439546121,3.8200395156e-05,5.9344709965e-05,5e-06,0.00011660210044,2.275313521e-05,4.8690154952e-05
3.4000000000000004,0.00045347167630000026,3.9377525402000016e-05,6.157671014300001e-05,5e-06,0.00012221344509000004,2.3273580738000002e-05,5.037260105000001e-05
3.45,0.00048453830288,4.0590928456e-05,6.3892642825e-05,5e-06,0.00012809479636,2.3805930716e-05,5.2113182018e-05
3.5,0.00051773104686,4.1841722051e-05,6.6295662918e-05,5e-06,0.0001342591423,2.435045744e-05,5.3913906587e-05
3.5500000000000003,0.00055319461289,4.3131058361e-05,6.8789043797e-05,5e-06,0.00014072009514,2.4907439437e-05,5.5776852894e-05
3.6,0.00059108313239,4.4460125066e-05,7.1376181736e-05,5e-06,0.00014749192122,2.5477161603e-05,5.7704170876e-05
3.6500000000000004,0.0006315604478900003,4.583014644200001e-05,7.406060051000002e-05,5e-06,0.00015458957227000006,2.6059915351000006e-05,5.9698084749000024e-05
