geneko	mediaws	media	addtlCpd	addtlCpdBounds	customReactionBounds	growth
none	yu2:narrative_1754518239303	MinGlucoseATCCMedia	none			1
none	yu2:narrative_1754518239303	MinLactateATCCMedia	none			1
none	yu2:narrative_1754518239303	MinPyruvateATCCMedia	none			1
none	yu2:narrative_1754518239303	ATCCMedia	none			0
