Time (h),ATCC_Glucose,ATCC_Lactate,ATCC_Pyruvate,MBM_NoCarbon,MBM_Glucose,MBM_Lactate,MBM_Pyruvate
0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.05,0.01780894757,0.017180243486333336,0.01729359838266667,0.016666666666666666,0.017468803356333332,0.017047892905,0.017242573479333334
0.1,0.019029516631666667,0.01770964597533333,0.017944112429,0.016666666666666666,0.018309545309333333,0.017437839150333336,0.01783838039466667
0.15000000000000002,0.020333739437000002,0.018255361795,0.018619095845000003,0.016666666666666666,0.019190750507666665,0.01783670486,0.018454775047
0.2,0.021727349305666666,0.018817893634333335,0.019319469033666666,0.016666666666666666,0.020114366353,0.018244694054,0.019092468831666667
0.25,0.023216472494333333,0.019397759672333332,0.020046187017666667,0.016666666666666666,0.02108243396866667,0.018662015419,0.019752197724999997
0.30000000000000004,0.024807655124333337,0.019995494055666665,0.020800240739333335,0.016666666666666666,0.022097092712,0.019088882415333335,0.020434723135
0.35000000000000003,0.026507891959,0.02061164739066667,0.021582658413,0.016666666666666666,0.023160584899,0.019525513385666667,0.021140832780000004
0.4,0.028324657149000003,0.02124678724966667,0.022394506926,0.016666666666666666,0.02427526076266667,0.019972131667,0.021871341596
0.45,0.03026593708666667,0.021901498695333334,0.023236893294333334,0.016666666666666666,0.025443583643333337,0.02042896570466667,0.022627092679000003
0.5,0.032340265513000004,0.022576384818,0.02411096617,0.016666666666666666,0.026668135434000005,0.02089624916966667,0.023408958258
0.55,0.03455676102666667,0.023272067293000003,0.025017917407333334,0.016666666666666666,0.027951622285,0.021374221077999998,0.024217840700333334
0.6000000000000001,0.03692516716333334,0.023989186951666668,0.025958983689333335,0.016666666666666666,0.02929688058366667,0.021863125912,0.025054673554333336
0.65,0.039455895240000004,0.024728404372333333,0.026935448211000003,0.016666666666666666,0.030706883221666665,0.022363213747,0.025920422626
0.7000000000000001,0.04216007008666667,0.025490400489000004,0.02794864242966667,0.016666666666666666,0.03218474616466667,0.022874740378333334,0.026816087093333333
0.75,0.04504957898333334,0.026275877218000003,0.02899994788066667,0.016666666666666666,0.03373373533666667,0.023397967452000002,0.027742700661666665
0.8,0.04813712388,0.027085558105333328,0.030090798058666664,0.016666666666666666,0.03535727384,0.023933162599333334,0.028701332753000002
0.8500000000000001,0.051436277250000016,0.027920188993,0.03122268037366667,0.016666666666666666,0.03705894951000001,0.024480599572333332,0.029693089744000003
0.9,0.054961541723333326,0.028780538705,0.032397138176666666,0.016666666666666666,0.03884252285666667,0.025040558385666666,0.030719116239666666
0.9500000000000001,0.05872841385,0.029667399757333335,0.03361577286333333,0.016666666666666666,0.04071193536,0.025613325458333332,0.031780596396666666
1.0,0.06275345220666667,0.030581589086333332,0.03488024606,0.016666666666666666,0.04267131819,0.026199193761333336,0.03287875528866667
1.05,0.06705435016666667,0.031523948802333335,0.03619228188,0.016666666666666666,0.044725001326666666,0.026798462966333335,0.03401486032000001
1.1,0.07165001368333333,0.03249534696466667,0.03755366928666667,0.016666666666666666,0.04687752313,0.027411439600333334,0.03519022269
1.1500000000000001,0.07656064436333333,0.03349667838,0.03896626451666666,0.016666666666666666,0.049133640369999995,0.02803843720066667,0.036406198906666666
1.2000000000000002,0.08180782826666669,0.03452886543333334,0.04043199362,0.016666666666666666,0.05149833873333335,0.028679776477333337,0.03766419234333334
1.25,0.08741463077666667,0.03559285893,0.04195285508666667,0.016666666666666666,0.05397684384333332,0.029335785475666665,0.03896565487333333
1.3,0.09340569796,0.03668963896666667,0.04353092255666667,0.016666666666666666,0.056574632799999997,0.030006799744333335,0.040312088536666665
1.35,0.09980736489666667,0.03782021585333333,0.04516834765666666,0.016666666666666666,0.05929744627666666,0.030693162507666665,0.04170504727333334
1.4000000000000001,0.10664777139666666,0.038985631023333335,0.04686736293666667,0.016666666666666666,0.06215130122666666,0.031395224841,0.04314613871333333
1.4500000000000002,0.11395698568000003,0.04018695800666667,0.04863028489666667,0.016666666666666666,0.06514250414333336,0.032113345849000004,0.04463702604666667
1.5,0.1217671365,0.04142530341,0.05045951716,0.016666666666666666,0.06827766502000002,0.032847892851,0.046179429923333334
1.55,0.13011255432666666,0.04270180794666667,0.05235755373,0.016666666666666666,0.07156371194,0.03359924157,0.04777513045
1.6,0.13902992222000002,0.044017647470000004,0.05432698241,0.016666666666666666,0.07500790638333334,0.03436777631666667,0.04942596925
1.6500000000000001,0.14855843699666665,0.04537403407333334,0.05637048831,0.016666666666666666,0.07861785927333333,0.03515389020333333,0.051133851573333326
1.7000000000000002,0.15873998146000004,0.04677221720000001,0.058490857510000015,0.016666666666666666,0.0824015477866667,0.03595798532000001,0.05290074850666668
1.75,0.16961930844333334,0.04821348479333334,0.06069098086666667,0.016666666666666666,0.08636733298,0.036780472970000005,0.05472869924666667
1.8,0.18124423740333334,0.049699164483333336,0.06297385793666668,0.016666666666666666,0.09052397824333333,0.03762177385,0.05661981345000001
1.85,0.1936658645266667,0.051230624813333334,0.06534260107333333,0.016666666666666666,0.09488066868666667,0.038482318290000005,0.05857627366333334
1.9000000000000001,0.20693878718333336,0.05280927649333334,0.06780043965333334,0.016666666666666666,0.09944703140666668,0.03936254645666666,0.060600337863333326
1.9500000000000002,0.22112134378000003,0.054436573710000005,0.07035072449666667,0.016666666666666666,0.10423315675000003,0.04026290858666667,0.06269434203333334
2.0,0.23627586998666666,0.05611401545333334,0.07299693240999999,0.016666666666666666,0.10924962062666667,0.04118386522,0.06486070288000001
