id	name	formula	charge	compartment	uptake	min_uptake	lowerbound	max_uptake	upperbound
cpd11592_e0	gly-glu-L [e0]	C7H11N2O5	-1		0	0	-1000	0	0
cpd08023_e0	methanesulfonate [e0]	CH3O3S	-1		0	0	-1000	0	0
cpd11587_e0	Ala-Gln [e0]	C8H15N3O4	0		0	0	-1000	0	0
cpd00092_e0	Uracil [e0]	C4H4N2O2	0		0	-4.82336	-1000	0	0
cpd00053_e0	L-Glutamine [e0]	C5H10N2O3	0		0	0	-1000	0	0
cpd11590_e0	met-L-ala-L [e0]	C8H15N2O3S	-1		0	0	-1000	0	0
cpd00156_e0	L-Valine [e0]	C5H11NO2	0		0	0	-1000	0	0
cpd11581_e0	gly-asn-L [e0]	C6H11N3O4	0		0	0	-1000	0	0
cpd11584_e0	Ala-His [e0]	C9H14N4O3	0		0	0	-1000	0	0
cpd15574_e0	tungstate [e0]	O4W	-2		0	0	-1000	0	0
cpd00132_e0	L-Asparagine [e0]	C4H8N2O3	0		0	0	-1000	0	0
cpd00100_e0	Glycerol [e0]	C3H8O3	0		0	0	-1000	0	0
cpd00166_e0	Calomide [e0]	C72H102CoN18O17P	2		0	0	-1000	0	0
cpd00731_e0	Ala-Ala [e0]	C6H12N2O3	0		0	0	-1000	0	0
cpd00098_e0	Choline [e0]	C5H14NO	1		0	0	-1000	0	0
cpd00635_e0	Cbl [e0]	C62H91CoN13O14P	2		0	0	-1000	0	0
cpd01329_e0	Maltohexaose [e0]	C36H62O31	0		0	0	-1000	0	0
cpd00051_e0	L-Arginine [e0]	C6H15N4O2	1		0	0	-1000	0	0
cpd00531_e0	Hg2+ [e0]	Hg	2		0	0	-1000	0	0
cpd00029_e0	Acetate [e0]	C2H3O2	-1		0	-10.7003	-1000	0	0
cpd00020_e0	Pyruvate [e0]	C3H3O3	-1		0	-9.14458	-1000	0	0
cpd00001_e0	H2O [e0]	H2O	0		-20.0116	-40.6333	-100	7.27417	100
cpd01414_e0	Tetrathionate [e0]	O6S4	-2		0	0	-1000	0	0
cpd01024_e0	Methane [e0]	CH4	0		0	0	-1000	0	0
cpd00047_e0	Formate [e0]	CHO2	-1		0	-28.136	-1000	0	0
cpd00007_e0	O2 [e0]	O2	0		11.2041	0.9753	-100	20	20
cpd00116_e0	Methanol [e0]	CH4O	0		0	0	-1000	0	0
cpd00011_e0	CO2 [e0]	CO2	0		-14.295	-28.4295	-1000	0	0
cpd03453_e0	Enterobactin [e0]	C30H27N3O15	0		0	0	-1000	0	0
cpd03726_e0	Fe-enterochlin [e0]	C30H27FeN3O15	0		0	0	-1000	0	0
cpd00363_e0	Ethanol [e0]	C2H6O	0		0	-7.7449	-1000	0	0
cpd00071_e0	Acetaldehyde [e0]	C2H4O	0		0	-9.14458	-1000	0	0
cpd11640_e0	H2 [e0]	H2	0		0	0	-1000	0	0
cpd00221_e0	D-Lactate [e0]	C3H5O3	-1		10	1	-100	10	10
cpd00239_e0	H2S [e0]	HS	-1		0	-11.1628	-1000	0	0
cpd00081_e0	Sulfite [e0]	HO3S	-1		0	-33.0031	-1000	0	0
cpd00268_e0	H2S2O3 [e0]	HO3S2	-1		0	0	-1000	0	0
cpd00075_e0	Nitrite [e0]	NO2	-1		0	0	-1000	0	0
cpd00063_e0	Ca2+ [e0]	Ca	2		0.000707786	7.07786e-05	-100	0.000707786	100
cpd00027_e0	D-Glucose [e0]	C6H12O6	0		0	0	-1000	0	0
cpd15378_e0	4-Hydroxy-benzylalcohol [e0]	C7H8O2	0		0	-0.911529	-1000	0	0
cpd00209_e0	Nitrate [e0]	NO3	-1		0	0	-1000	0	0
cpd00099_e0	Cl- [e0]	Cl	-1		0.000707786	7.07786e-05	-100	0.000707786	100
cpd11416_c0	Biomass [c0]	null	0		-0.442355	-0.442355	-1000	-0.0442355	0
